日期,SO2分指数,NO2分指数,AQI
2023/5/10,"\mathcal{L}(6,8)","\mathcal{L}(37,39)","\mathcal{L}(72,74)"
2023/5/9,"\mathcal{L}(6,8)","\mathcal{L}(42,44)","\mathcal{L}(80,82)"
2023/5/8,"\mathcal{L}(5,7)","\mathcal{L}(23,25)","\mathcal{L}(61,63)"
2023/5/7,"\mathcal{L}(5,7)","\mathcal{L}(22,24)","\mathcal{L}(41,43)"
2023/5/6,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(45,47)"
2023/5/5,"\mathcal{L}(5,7)","\mathcal{L}(33,35)","\mathcal{L}(43,45)"
2023/5/4,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(48,50)"
2023/5/3,"\mathcal{L}(6,8)","\mathcal{L}(21,23)","\mathcal{L}(54,56)"
2023/5/2,"\mathcal{L}(6,8)","\mathcal{L}(19,21)","\mathcal{L}(84,86)"
2023/5/1,"\mathcal{L}(8,10)","\mathcal{L}(39,41)","\mathcal{L}(121,123)"
2023/4/30,"\mathcal{L}(7,9)","\mathcal{L}(44,46)","\mathcal{L}(96,98)"
2023/4/29,"\mathcal{L}(6,8)","\mathcal{L}(44,46)","\mathcal{L}(69,71)"
2023/4/28,"\mathcal{L}(7,9)","\mathcal{L}(39,41)","\mathcal{L}(88,90)"
2023/4/27,"\mathcal{L}(6,8)","\mathcal{L}(28,30)","\mathcal{L}(99,101)"
2023/4/26,"\mathcal{L}(7,9)","\mathcal{L}(36,38)","\mathcal{L}(79,81)"
2023/4/25,"\mathcal{L}(7,9)","\mathcal{L}(41,43)","\mathcal{L}(48,50)"
2023/4/24,"\mathcal{L}(5,7)","\mathcal{L}(19,21)","\mathcal{L}(48,50)"
2023/4/23,"\mathcal{L}(5,7)","\mathcal{L}(19,21)","\mathcal{L}(80,82)"
2023/4/22,"\mathcal{L}(6,8)","\mathcal{L}(22,24)","\mathcal{L}(86,88)"
2023/4/21,"\mathcal{L}(5,7)","\mathcal{L}(19,21)","\mathcal{L}(56,58)"
2023/4/20,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(47,49)"
2023/4/19,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(44,46)"
2023/4/18,"\mathcal{L}(7,9)","\mathcal{L}(48,50)","\mathcal{L}(86,88)"
2023/4/17,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(86,88)"
2023/4/16,"\mathcal{L}(6,8)","\mathcal{L}(29,31)","\mathcal{L}(92,94)"
2023/4/15,"\mathcal{L}(5,7)","\mathcal{L}(36,38)","\mathcal{L}(60,62)"
2023/4/14,"\mathcal{L}(7,9)","\mathcal{L}(56,58)","\mathcal{L}(75,77)"
2023/4/13,"\mathcal{L}(5,7)","\mathcal{L}(37,39)","\mathcal{L}(133,135)"
2023/4/12,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(187,189)"
2023/4/11,"\mathcal{L}(7,9)","\mathcal{L}(41,43)","\mathcal{L}(124,126)"
2023/4/10,"\mathcal{L}(7,9)","\mathcal{L}(34,36)","\mathcal{L}(96,98)"
2023/4/9,"\mathcal{L}(7,9)","\mathcal{L}(38,40)","\mathcal{L}(99,101)"
2023/4/8,"\mathcal{L}(6,8)","\mathcal{L}(43,45)","\mathcal{L}(66,68)"
2023/4/7,"\mathcal{L}(6,8)","\mathcal{L}(41,43)","\mathcal{L}(82,84)"
2023/4/6,"\mathcal{L}(5,7)","\mathcal{L}(41,43)","\mathcal{L}(66,68)"
2023/4/5,"\mathcal{L}(5,7)","\mathcal{L}(26,28)","\mathcal{L}(48,50)"
2023/4/4,"\mathcal{L}(5,7)","\mathcal{L}(23,25)","\mathcal{L}(47,49)"
2023/4/3,"\mathcal{L}(5,7)","\mathcal{L}(27,29)","\mathcal{L}(67,69)"
2023/4/2,"\mathcal{L}(6,8)","\mathcal{L}(54,56)","\mathcal{L}(80,82)"
2023/4/1,"\mathcal{L}(7,9)","\mathcal{L}(64,66)","\mathcal{L}(64,66)"
